inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
10,Durango,10007,Gomez Palacio,5000,Violación,2,0.5257167220115662,2024-08
10,Durango,10007,Gomez Palacio,6000,Violencia familiar,90,23.65725326538086,2024-08
10,Durango,10007,Gomez Palacio,7000,Trata de personas,0,0,2024-08
10,Durango,10007,Gomez Palacio,8000,Narcomenudeo,24,6.308600902557373,2024-08
10,Durango,10007,Gomez Palacio,9000,Lesiones dolosas,44,11.565768241882324,2024-08
10,Durango,10008,Guadalupe Victoria,0,Total de delitos,37,94.89369201660156,2024-08
10,Durango,10008,Guadalupe Victoria,1100,Homicidio doloso,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,1120,Feminicidio,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,1200,Homicidio culposo,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,2000,Secuestro,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,3000,Extorsión,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,4001,Robo con violencia,1,2.564694404602051,2024-08
10,Durango,10008,Guadalupe Victoria,4100,Robo de vehículo,1,2.564694404602051,2024-08
10,Durango,10008,Guadalupe Victoria,4200,Robo a casa habitación,1,2.564694404602051,2024-08
10,Durango,10008,Guadalupe Victoria,4300,Robo a negocio,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,4400,Robo a transeúnte total,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,4940,Robo en transporte público,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,5000,Violación,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,6000,Violencia familiar,5,12.823472023010254,2024-08
10,Durango,10008,Guadalupe Victoria,7000,Trata de personas,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,8000,Narcomenudeo,0,0,2024-08
10,Durango,10008,Guadalupe Victoria,9000,Lesiones dolosas,6,15.388166427612305,2024-08
10,Durango,10009,Guanacevi,0,Total de delitos,5,46.511627197265625,2024-08
10,Durango,10009,Guanacevi,1100,Homicidio doloso,0,0,2024-08
10,Durango,10009,Guanacevi,1120,Feminicidio,0,0,2024-08
10,Durango,10009,Guanacevi,1200,Homicidio culposo,0,0,2024-08
